Frame,Object ID,Class,Speed (km/h)
3,2,bus,
3,5,person,
6,0,car,77.10
6,7,person,
6,8,person,
6,1,car,76.90
6,2,bus,
6,10,person,
6,4,car,76.74
9,0,car,69.05
9,11,motorcycle,
9,1,car,69.48
9,4,person,
9,9,car,69.21
12,0,car,90.54
12,13,person,
12,14,person,
12,1,car,90.31
12,4,car,39.22
12,15,truck,
12,16,person,
15,0,car,80.07
15,17,person,
15,1,car,80.25
15,18,person,
15,15,car,80.43
15,4,car,80.07
18,0,car,125.30
18,19,car,125.74
18,15,car,123.98
18,1,car,123.98
18,4,car,123.82
21,0,car,13.68
21,4,car,13.70
21,19,car,13.68
21,15,car,13.69
21,1,car,13.69
24,0,car,64.73
24,15,car,64.73
24,4,car,64.73
24,24,car,64.73
24,1,car,64.61
27,0,car,114.00
27,4,car,114.00
27,1,car,114.36
27,24,car,114.00
27,26,person,
27,27,truck,
30,0,car,141.75
30,4,car,141.75
30,27,car,141.75
30,30,person,
30,1,car,141.20
30,24,car,141.20
30,28,person,
33,0,car,117.40
33,27,car,117.78
33,4,car,117.78
33,31,truck,
33,1,car,117.78
33,35,person,
33,36,person,
36,27,car,113.68
36,4,car,113.68
36,33,car,113.68
36,37,person,
36,34,car,113.50
39,4,car,129.47
39,40,bus,
39,27,car,129.23
39,33,car,129.00
39,43,person,
39,34,person,
39,44,truck,
42,39,car,125.95
42,27,car,125.50
42,34,person,
42,33,car,125.94
45,39,car,124.21
45,33,car,124.65
45,48,person,
45,49,person,
45,46,car,124.00
45,50,truck,
48,39,car,118.59
48,47,car,118.59
48,33,car,118.59
48,52,person,
48,53,bus,
48,54,person,
48,50,truck,
48,55,person,
48,56,kite,
48,58,bus,
51,39,car,126.66
51,50,truck,
51,59,person,
51,60,person,
51,47,car,126.22
51,61,bus,
51,33,car,126.22
54,39,car,106.38
54,33,person,
54,47,car,106.38
54,50,truck,
54,63,person,
54,64,person,
54,65,bus,
54,67,person,
57,39,car,143.90
57,69,person,
57,70,truck,
57,50,truck,
57,71,person,
57,73,bus,
57,70,bus,
60,74,person,
60,39,car,134.42
60,50,truck,
60,72,car,134.42
60,75,person,
63,72,car,123.78
63,80,traffic light,
63,39,car,124.21
63,76,person,
66,79,car,125.24
66,84,traffic light,
66,86,truck,
66,87,person,
69,79,car,113.46
69,88,car,113.82
69,84,traffic light,
69,92,traffic light,
72,79,car,63.13
72,97,traffic light,
72,98,traffic light,
72,99,motorcycle,
72,97,traffic light,
72,88,car,63.13
72,101,umbrella,
72,102,person,
72,103,traffic light,
75,79,car,69.27
75,96,car,69.27
75,88,car,68.74
75,104,traffic light,
75,105,traffic light,
75,94,person,
75,104,traffic light,
75,108,motorcycle,
75,95,car,68.60
75,104,traffic light,
78,79,car,66.43
78,88,car,66.92
78,110,traffic light,
78,94,motorcycle,
78,114,traffic light,
78,95,car,66.85
78,115,traffic light,
81,79,car,89.29
81,117,motorcycle,
81,111,car,89.29
